id,nombre,tipo
1,Abarth,1
2,Alfa Romeo,1
3,Aro,1
4,Asia,1
5,Asia Motors,1
6,Aston Martin,1
7,Audi,1
8,Austin,1
9,Auverland,1
10,Bentley,1
11,Bertone,1
12,Bmw,1
13,Cadillac,1
14,Chevrolet,1
15,Chrysler,1
16,Citroen,1
17,Corvette,1
18,Dacia,1
19,Daewoo,1
20,Daf,1
21,Daihatsu,1
22,Daimler,1
23,Dodge,1
24,Ferrari,1
25,Fiat,1
26,Ford,1
27,Galloper,1
28,Gmc,1
29,Honda,1
30,Hummer,1
31,Hyundai,1
32,Infiniti,1
33,Innocenti,1
34,Isuzu,1
35,Iveco,1
36,Iveco-pegaso,1
37,Jaguar,1
38,Jeep,1
39,Kia,1
40,Lada,1
41,Lamborghini,1
42,Lancia,1
43,Land-rover,1
44,Ldv,1
45,Lexus,1
46,Lotus,1
47,Mahindra,1
48,Maserati,1
49,Maybach,1
50,Mazda,1
51,Mercedes-benz,1
52,Mg,1
53,Mini,1
54,Mitsubishi,1
55,Morgan,1
56,Nissan,1
57,Opel,1
58,Peugeot,1
59,Pontiac,1
60,Porsche,1
61,Renault,1
62,Rolls-royce,1
63,Rover,1
64,Saab,1
65,Santana,1
66,Seat,1
67,Skoda,1
68,Smart,1
69,Ssangyong,1
70,Subaru,1
71,Suzuki,1
72,Talbot,1
73,Tata,1
74,Toyota,1
75,Umm,1
76,Vaz,1
77,Volkswagen,1
78,Volvo,1
79,Wartburg,1
98,Lifan,2
102,Mahindra,2
132,Shineray,2
133,Kasinski,2
135,Yamaha,2
136,Garinni,2
140,Sundown,2
170,Kawasaki,2
171,Polaris,2
176,Adly,2
177,Amazonas,2
178,Aprilia,2
179,Atala,2
180,Bajaj,2
181,Benelli,2
182,Beta,2
183,Bimota,2
184,Brandy,2
185,Brava,2
186,Brp,2
187,Buell,2
188,Bueno,2
190,Cagiva,2
191,Mobilete,2
192,Daelim,2
193,Dafra,2
194,Dayang,2
195,Dayun,2
196,Derbi,2
197,Ducati,2
198,Emme,2
200,Fym,2
201,Gas Gas,2
202,Green,2
203,Haobao,2
204,Harley-Davidson,2
205,Hartford,2
206,Hero,2
207,Husaberg,2
208,Husqvarna,2
209,Iros,2
210,Jiapeng Volcano,2
211,Johnnypag,2
212,Jonny,2
213,Kahena,2
214,Kimco,2
215,Laquila,2
216,Landum,2
217,Lavrale,2
218,Lerivo,2
219,Lon-V,2
220,Triciclo,2
221,Malaguti,2
222,Miza,2
223,Moto Guzzi,2
224,Mrx,2
225,Mv Augusta,2
226,Mvk,2
227,Orca,2
228,Pegassi,2
229,Piaggio,2
230,Regal Raptor,2
231,Sanyang,2
232,Siamoto,2
233,Targos,2
234,Traxx,2
235,Vento,2
236,Wuyang,2
245,Garra,2
246,X Motos,2
248,Tricker,2
253,Lambreta,2
261,Outros,2
269,Scooter,2
281,Zongshen,2
282,Birelli,2
294,Walk Machine,2
297,Fbm,2
299,Ariel,2
340,Ducar,2
341,Ditally,2
342,Marva,2
343,Wolver,2
344,Ktm,2
347,Leopard,2
348,Jawa,2
349,Bull,2
358,Can-Am,2
359,Acellera,2
483,Victory,2
484,Indian,2
532,Bravax,2
533,Garelli,2
534,Honda,2
535,Agrale,2
536,Bmw,2
537,Suzuki,2
